Amount,Term,Success,ALL_AgeOfYoungestAccount,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts,EmploymentType_Employed - part time,EmploymentType_Retired,EmploymentType_Self employed,LoanPurpose_bike,LoanPurpose_buy car,LoanPurpose_car,LoanPurpose_car & consolidate,LoanPurpose_car bill,LoanPurpose_car improvements,LoanPurpose_car insurance,LoanPurpose_car loan,LoanPurpose_car purchase,LoanPurpose_car repairs,"LoanPurpose_car,credit car bills",LoanPurpose_caravan,LoanPurpose_consolidate other debts,LoanPurpose_consolidation,LoanPurpose_consolidation and car,LoanPurpose_credit card consolidation,LoanPurpose_credit cards,LoanPurpose_debt,LoanPurpose_debt bills,LoanPurpose_debt/car,LoanPurpose_emergency,LoanPurpose_emergency expenses,LoanPurpose_engagement ring,LoanPurpose_furniture,LoanPurpose_holiday,LoanPurpose_home,LoanPurpose_house,LoanPurpose_house deposit,LoanPurpose_house goods,LoanPurpose_house items,LoanPurpose_house repairs,LoanPurpose_household stuff,LoanPurpose_investment,LoanPurpose_medical,LoanPurpose_medical bill,LoanPurpose_motorbike,LoanPurpose_motorcycle,LoanPurpose_moving house,LoanPurpose_new car,LoanPurpose_other,LoanPurpose_pay off  loan /car,LoanPurpose_pay off credit cards,LoanPurpose_pay off debt,LoanPurpose_personal car,LoanPurpose_refurbishment,LoanPurpose_rent,LoanPurpose_repairs,LoanPurpose_short term cash,LoanPurpose_unexpected expense,LoanPurpose_van,LoanPurpose_vehicle,LoanPurpose_wedding
19000,48,0,4,12,2,2,7,80,40789,4272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,48,0,2,7,1,2,8,81,54980,7330,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,36,0,7,5,0,2,0,47,11490,11490,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,36,0,4,9,2,2,6,56,82078,4311,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15000,48,1,1,9,2,2,7,89,6546,6546,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,12,0,2,8,0,2,10,78,700,700,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,24,0,8,7,1,2,4,36,3106,3106,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15000,60,0,3,3,1,2,1,14,189,189,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12000,48,0,3,5,1,1,4,45,6826,6826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5000,36,1,15,3,0,0,6,68,59,59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,60,0,3,8,1,5,5,53,66441,6525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,48,0,10,6,0,2,7,66,197163,4573,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7500,48,0,9,3,0,1,0,13,124789,22774,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4500,36,0,1,6,0,3,1,22,511,511,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,36,0,5,9,2,3,3,20,8751,8751,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
